run_id,timestamp,dataset,sequence,density,model,model_family,model_scale,mode,tracker,device,conf,half,imgsz,reid_weights,with_reid,frame_rate,num_frames,num_frames_with_detections,num_frames_with_tracks,num_track_rows,avg_det_ms,std_det_ms,fps_det,avg_track_ms,std_track_ms,fps_track,avg_total_ms,std_total_ms,fps_total,avg_preprocess_ms,std_preprocess_ms,fps_preprocess,avg_inference_ms,std_inference_ms,fps_inference,avg_postprocess_ms,std_postprocess_ms,fps_postprocess,head_active_final,head_end2end_final,frame1_det_ms,frame1_total_ms,frame1_postprocess_ms,HOTA,DetA,AssA,LocA,MOTA,MOTP,IDSW,Frag,CLR_FP,CLR_FN,FP,FN,MT,PT,ML,MTR,MLR,mostly_tracked_ratio,mostly_lost_ratio,GT_IDs,num_unique_objects,CLR_Re,CLR_Pr,Recall,Precision,IDF1,IDR,IDP,mot_results_file,run_dir
1,20260328_163123,MOT17,MOT17-02,31.0,rtdetr-l.pt,rtdetr,l,nms,botsort,0,0.25,False,640,osnet_x0_25_msmt17.pt,True,30,600,600,600,5678,19.5662965021135,2.0771723109528035,51.10829225612434,23.46296399880278,25.134797001729844,42.62036118075388,47.62362516708284,25.157000336333876,20.99798149535231,2.004206166990722,0.1718196111348181,498.9506650912472,16.422139500791673,1.9924698689859317,60.893405512222834,0.6094034991110675,0.0590071268710634,1640.9488975017257,NMS (one-to-many),False,16.225800034590065,236.25199997331947,0.5575999966822565,33.452,22.209,50.745,84.326,23.556,82.222,25,77,638,13541,638,13541,8,16,38,12.903,61.29,12.903,61.29,62,62,27.124,88.764,27.124,88.764,37.289,24.342,79.658,results/paper_main/MOT17/MOT17-02/rtdetr_l_nms_botsort_0_run01/mot_results.txt,results/paper_main/MOT17/MOT17-02/rtdetr_l_nms_botsort_0_run01
2,20260328_163159,MOT17,MOT17-02,31.0,rtdetr-l.pt,rtdetr,l,nms,botsort,0,0.25,False,640,osnet_x0_25_msmt17.pt,True,30,600,600,600,5678,19.642029167832032,1.9056925877523097,50.91123689184369,23.545393999665976,25.50558470365393,42.47115168317788,47.77302049954111,25.43465452311913,20.932316808597136,1.9903883325362888,0.1470175508699821,502.4145206507173,16.529258500571206,1.8710098253736351,60.49878159782199,0.5993590000434779,0.0565213944693938,1668.4491263624295,NMS (one-to-many),False,15.586900000926107,241.4615000016056,0.5291000124998391,33.452,22.209,50.745,84.326,23.556,82.222,25,77,638,13541,638,13541,8,16,38,12.903,61.29,12.903,61.29,62,62,27.124,88.764,27.124,88.764,37.289,24.342,79.658,results/paper_main/MOT17/MOT17-02/rtdetr_l_nms_botsort_0_run02/mot_results.txt,results/paper_main/MOT17/MOT17-02/rtdetr_l_nms_botsort_0_run02
3,20260328_163234,MOT17,MOT17-02,31.0,rtdetr-l.pt,rtdetr,l,nms,botsort,0,0.25,False,640,osnet_x0_25_msmt17.pt,True,30,600,600,600,5677,19.816864001428865,2.0584798568463487,50.46207108894205,23.48014000095039,25.582545697698723,42.58918387878112,47.88651683552113,25.641832776213736,20.88270490490598,1.984906167005344,0.137458805003653,503.8021527781911,16.692340669008747,1.9705566554830964,59.90771574993165,0.6103630006934205,0.0698860285142341,1638.369296408729,NMS (one-to-many),False,16.821199969854206,254.48389997472987,0.5923000280745327,33.44,22.201,50.726,84.323,23.535,82.221,26,78,639,13543,639,13543,8,16,38,12.903,61.29,12.903,61.29,62,62,27.114,88.744,27.114,88.744,37.25,24.315,79.584,results/paper_main/MOT17/MOT17-02/rtdetr_l_nms_botsort_0_run03/mot_results.txt,results/paper_main/MOT17/MOT17-02/rtdetr_l_nms_botsort_0_run03
4,20260329_071544,MOT17,MOT17-02,31.0,rtdetr-l.pt,rtdetr,l,nms,botsort,0,0.25,False,640,osnet_x0_25_msmt17.pt,True,30,600,600,600,5678,16.863594499785297,2.235390734101688,59.29933858482732,19.81275316774069,22.15762536364732,50.472541172531706,40.89307049939331,22.39592229280312,24.454020883925452,1.7283715006972973,0.1738948172277222,578.5793156138933,14.08809700020356,2.013036199756932,70.98190763348313,0.5559208349829229,0.1726626512298272,1798.8172723023029,NMS (one-to-many),False,14.906900003552437,214.45929998299107,0.5311000277288258,33.452,22.209,50.745,84.326,23.556,82.222,25,77,638,13541,638,13541,8,16,38,12.903,61.29,12.903,61.29,62,62,27.124,88.764,27.124,88.764,37.289,24.342,79.658,results/paper_main/MOT17/MOT17-02/rtdetr_l_nms_botsort_0_run04/mot_results.txt,results/paper_main/MOT17/MOT17-02/rtdetr_l_nms_botsort_0_run04
5,20260329_071615,MOT17,MOT17-02,31.0,rtdetr-l.pt,rtdetr,l,nms,botsort,0,0.25,False,640,osnet_x0_25_msmt17.pt,True,30,600,600,600,5678,16.917400332167745,2.1968260033672227,59.11073689605494,19.54742949960443,21.502280444251724,51.15762151848336,40.660400999574144,21.60399833083405,24.593953217787337,1.730028166784905,0.1685667687024228,578.0252710326712,14.13295050074036,1.9787097354306808,70.75663358104981,0.5543276672445548,0.1651973442815106,1803.987170567884,NMS (one-to-many),False,13.403200020547956,202.7302000205964,0.4489000421017408,33.452,22.209,50.745,84.326,23.556,82.222,25,77,638,13541,638,13541,8,16,38,12.903,61.29,12.903,61.29,62,62,27.124,88.764,27.124,88.764,37.289,24.342,79.658,results/paper_main/MOT17/MOT17-02/rtdetr_l_nms_botsort_0_run05/mot_results.txt,results/paper_main/MOT17/MOT17-02/rtdetr_l_nms_botsort_0_run05
1,20260328_163008,MOT17,MOT17-02,31.0,rtdetr-l.pt,rtdetr,l,nms,bytetrack,0,0.25,False,640,,False,30,600,600,600,7247,17.086222999011323,2.871440864881749,58.52668550901296,1.822292333235964,0.2112065509044638,548.7593739826773,23.43415633193217,2.944788304314584,42.67275449713401,1.986158665677067,0.8875512866360344,503.4844482875729,14.062834498569524,1.9844072046100252,71.10941966228219,0.5777288334017309,0.0512360504360751,1730.915859109697,NMS (one-to-many),False,16.86820003669709,22.7003000327386,0.6439000135287642,29.286,24.98,34.678,82.128,24.67,80.0,63,107,1300,12634,1300,12634,8,21,33,12.903,53.226,12.903,53.226,62,62,32.006,82.062,32.006,82.062,33.808,23.497,60.246,results/paper_main/MOT17/MOT17-02/rtdetr_l_nms_bytetrack_0_run01/mot_results.txt,results/paper_main/MOT17/MOT17-02/rtdetr_l_nms_bytetrack_0_run01
2,20260328_163027,MOT17,MOT17-02,31.0,rtdetr-l.pt,rtdetr,l,nms,bytetrack,0,0.25,False,640,,False,30,600,600,600,7247,15.302177335349066,2.440540713626366,65.35017717314857,1.4435220005301137,0.2469956654481548,692.7500929204846,20.883085000192903,2.697216230767673,47.88564524785312,1.6970000003736156,0.1791798280782006,589.275191384701,12.600975832319818,2.1923200418774744,79.35893325302106,0.5433348319881285,0.1671981432932052,1840.4857210072064,NMS (one-to-many),False,15.649100008886307,20.967199990991503,0.5370999570004642,29.286,24.98,34.678,82.128,24.67,79.999,63,107,1300,12634,1300,12634,8,21,33,12.903,53.226,12.903,53.226,62,62,32.006,82.062,32.006,82.062,33.808,23.497,60.246,results/paper_main/MOT17/MOT17-02/rtdetr_l_nms_bytetrack_0_run02/mot_results.txt,results/paper_main/MOT17/MOT17-02/rtdetr_l_nms_bytetrack_0_run02
3,20260328_163048,MOT17,MOT17-02,31.0,rtdetr-l.pt,rtdetr,l,nms,bytetrack,0,0.25,False,640,,False,30,600,600,600,7250,17.526142666853655,3.623761328076069,57.05762066465724,1.8116394994043123,0.2263867645181371,551.9861983186012,23.880262667080387,3.696203074624559,41.87558629237894,1.963724333133238,0.1838004096921887,509.2364458327208,14.493230998826524,3.50971020025235,68.99772728944755,0.5901054996259821,0.0641118281323085,1694.6122356660212,NMS (one-to-many),False,15.50939999287948,20.94720001332462,0.4861000343225896,29.336,24.954,34.828,82.109,24.654,79.995,63,109,1303,12634,1303,12634,8,21,33,12.903,53.226,12.903,53.226,62,62,32.006,82.028,32.006,82.028,33.897,23.562,60.386,results/paper_main/MOT17/MOT17-02/rtdetr_l_nms_bytetrack_0_run03/mot_results.txt,results/paper_main/MOT17/MOT17-02/rtdetr_l_nms_bytetrack_0_run03
4,20260329_071454,MOT17,MOT17-02,31.0,rtdetr-l.pt,rtdetr,l,nms,bytetrack,0,0.25,False,640,,False,30,600,600,600,7247,15.652239667930797,2.0784039011253204,63.888620492366805,1.4925334984824683,0.256942062142462,670.0017125355972,21.34790033393074,2.329939308414368,46.843014271084165,1.747281663507844,0.1905841832014661,572.3175724241272,12.873482832316464,1.8796231118942297,77.67905647799425,0.5558141671159925,0.1597784604628876,1799.1624884065084,NMS (one-to-many),False,13.843900000210851,18.569300009403378,0.4843000206165015,29.287,24.981,34.68,82.128,24.67,79.999,63,107,1300,12634,1300,12634,8,21,33,12.903,53.226,12.903,53.226,62,62,32.006,82.062,32.006,82.062,33.808,23.497,60.246,results/paper_main/MOT17/MOT17-02/rtdetr_l_nms_bytetrack_0_run04/mot_results.txt,results/paper_main/MOT17/MOT17-02/rtdetr_l_nms_bytetrack_0_run04
5,20260329_071513,MOT17,MOT17-02,31.0,rtdetr-l.pt,rtdetr,l,nms,bytetrack,0,0.25,False,640,,False,30,600,600,600,7247,15.617934999754652,2.3488773671971286,64.02895133163952,1.4422203338472173,0.2274656951070824,693.3753300596134,21.21381200151518,2.559185991322433,47.13909974919056,1.713775666236567,0.1826149785379509,583.5069430038001,12.882122167308504,2.108833586324018,77.6269613820106,0.5636013347733145,0.1906185339330685,1774.3038177902984,NMS (one-to-many),False,15.7554000033997,21.39259997056797,0.526399991940707,29.287,24.981,34.679,82.128,24.67,80.0,63,107,1300,12634,1300,12634,8,21,33,12.903,53.226,12.903,53.226,62,62,32.006,82.062,32.006,82.062,33.808,23.497,60.246,results/paper_main/MOT17/MOT17-02/rtdetr_l_nms_bytetrack_0_run05/mot_results.txt,results/paper_main/MOT17/MOT17-02/rtdetr_l_nms_bytetrack_0_run05
