family,scale,mode,label,dataset,Recall,Precision,DetA,AssA,IDF1,IDR,IDP,MOTA,MT,ML,IDSW,Frag
rtdetr,l,nms,RT-DETR-L,MOT17,45.61266666666667,84.591,34.45933333333333,43.78446666666667,47.148466666666664,37.376466666666666,69.02886666666667,36.154266666666665,18.666666666666668,29.333333333333332,68.06666666666666,122.73333333333333
rtdetr,l,nms,RT-DETR-L,MOT20,15.012826666666667,86.9516,11.822753333333333,25.581133333333334,20.32326666666667,12.552473333333333,72.79466666666666,13.174520000000003,10.333333333333334,598.8666666666667,130.46666666666667,282.6666666666667
rtdetr,l,nms,RT-DETR-L,SOMPT22,38.058066666666676,95.75533333333334,31.030600000000003,38.3664,39.163666666666664,27.815133333333335,70.39753333333333,36.22526666666667,25.333333333333332,42.8,100.93333333333334,201.66666666666666
rtdetr,x,nms,RT-DETR-X,MOT17,46.94033333333332,84.14493333333333,35.413866666666664,44.27333333333333,48.711133333333336,38.976666666666674,69.4622,37.108799999999995,20.0,29.666666666666668,70.66666666666667,116.66666666666667
rtdetr,x,nms,RT-DETR-X,MOT20,16.336986666666668,87.1878,12.773000000000001,25.646199999999997,21.963113333333336,13.73971333333333,73.35806666666667,14.319606666666663,10.866666666666667,588.0,138.6,301.1333333333333
rtdetr,x,nms,RT-DETR-X,SOMPT22,38.74686666666666,95.82846666666666,31.6508,38.30893333333334,38.876666666666665,27.6526,69.4892,36.91513333333334,26.733333333333334,42.0,97.93333333333334,195.8
yolo11,l,nms,YOLO11-L,MOT17,37.482200000000006,90.0406,29.4044,46.03513333333333,42.88120000000001,31.858000000000004,76.42246666666666,32.2936,13.666666666666666,40.666666666666664,44.4,86.93333333333334
yolo11,l,nms,YOLO11-L,MOT20,7.258986666666668,86.02113333333334,6.016187333333335,19.177333333333326,11.136598666666666,6.454509999999999,77.88786666666668,6.727744666666666,4.0,668.0,36.4,91.66666666666667
yolo11,l,nms,YOLO11-L,SOMPT22,30.481800000000003,97.30233333333331,25.493933333333334,37.113533333333336,34.090066666666665,22.7034,73.57213333333333,29.428266666666662,20.333333333333332,47.666666666666664,83.66666666666667,167.0
yolo11,m,nms,YOLO11-M,MOT17,37.74266666666667,89.77466666666666,29.57673333333333,48.242333333333335,43.48186666666666,32.20946666666667,77.42800000000001,32.34793333333333,15.333333333333334,40.666666666666664,51.666666666666664,93.8
yolo11,m,nms,YOLO11-M,MOT20,8.906346666666666,86.77813333333334,7.2862133333333325,19.457199999999997,12.737813333333333,7.619533333333335,74.3614,8.166766,6.0,657.3333333333334,67.93333333333334,151.13333333333333
yolo11,m,nms,YOLO11-M,SOMPT22,32.63466666666667,97.05886666666666,27.165333333333333,37.299200000000006,34.373733333333334,23.322200000000006,71.836,31.46506666666667,24.666666666666668,46.666666666666664,98.66666666666667,192.06666666666666
yolo11,n,nms,YOLO11-N,MOT17,34.1898,91.87973333333333,26.872533333333333,46.050533333333334,40.197199999999995,28.92433333333333,77.6118,30.23726666666666,12.666666666666666,43.333333333333336,44.8,81.26666666666667
yolo11,n,nms,YOLO11-N,MOT20,11.003094000000003,88.85593333333333,8.703337333333332,19.459026666666666,15.719373333333333,9.322927333333334,76.10206666666666,10.20984733333333,6.666666666666667,632.8,129.8,366.06666666666666
yolo11,n,nms,YOLO11-N,SOMPT22,29.424199999999995,97.46486666666667,24.34146666666667,34.17700000000001,31.764133333333337,21.110133333333334,71.635,28.4588,18.333333333333332,48.333333333333336,114.46666666666667,202.2
yolo11,s,nms,YOLO11-S,MOT17,37.41146666666667,89.19633333333333,29.293133333333333,46.30313333333333,42.93946666666667,31.72046666666667,75.93766666666669,32.0674,15.0,41.0,48.46666666666667,95.93333333333334
yolo11,s,nms,YOLO11-S,MOT20,10.460166666666664,88.26700000000001,8.433126666666668,19.436333333333334,14.603673333333335,8.79606,74.34819999999999,9.506866666666667,6.333333333333333,642.4,131.0,331.2
yolo11,s,nms,YOLO11-S,SOMPT22,33.092933333333335,97.31899999999999,27.443866666666665,36.708800000000004,35.034,24.000666666666664,72.2596,31.98653333333333,23.333333333333332,45.666666666666664,113.73333333333333,229.53333333333333
yolo11,x,nms,YOLO11-X,MOT17,37.05213333333333,89.4486,28.624799999999997,49.22473333333334,43.00339999999999,32.0518,78.58959999999999,31.47973333333333,16.0,41.666666666666664,43.333333333333336,83.0
yolo11,x,nms,YOLO11-X,MOT20,7.761226666666667,81.56453333333334,6.4603139999999994,19.6463,11.639313333333337,6.8511266666666675,70.9486,6.986768,4.666666666666667,664.0,48.733333333333334,100.06666666666666
yolo11,x,nms,YOLO11-X,SOMPT22,32.096266666666665,97.27446666666667,26.839199999999998,37.75833333333333,35.94113333333334,24.300666666666665,74.81933333333333,30.9908,20.333333333333332,46.666666666666664,81.0,171.26666666666668
yolo26,l,end2end,YOLO26-L (E2E),MOT17,36.95086666666668,88.01806666666667,28.7598,49.641200000000005,43.686266666666675,32.45893333333333,78.6024,31.176866666666665,14.666666666666666,41.333333333333336,46.266666666666666,142.13333333333333
yolo26,l,end2end,YOLO26-L (E2E),MOT20,7.291706666666667,87.4686,6.045553333333334,18.153533333333332,11.195686666666667,6.510338000000001,78.16413333333334,6.655906000000001,4.666666666666667,666.0,52.333333333333336,283.93333333333334
yolo26,l,end2end,YOLO26-L (E2E),SOMPT22,31.223999999999997,96.74913333333335,26.0116,37.06766666666667,34.47806666666666,23.2622,72.47966666666667,29.886466666666667,23.133333333333333,46.666666666666664,106.13333333333334,370.26666666666665
yolo26,l,nms,YOLO26-L (NMS),MOT17,38.19439999999999,87.39773333333333,29.629999999999995,48.66746666666666,44.18353333333334,33.19286666666667,77.03826666666667,31.790266666666657,15.666666666666666,39.333333333333336,42.266666666666666,90.4
yolo26,l,nms,YOLO26-L (NMS),MOT20,8.278153333333332,89.05333333333333,6.815526666666667,19.672066666666662,12.527233333333333,7.356139999999999,80.36453333333333,7.616499999999999,6.0,661.0,45.93333333333333,97.66666666666667
yolo26,l,nms,YOLO26-L (NMS),SOMPT22,32.94586666666667,96.82846666666664,27.367333333333328,38.49086666666667,36.25106666666667,24.786799999999996,73.45746666666668,31.58706666666667,24.666666666666668,46.0,98.13333333333334,192.53333333333333
yolo26,m,end2end,YOLO26-M (E2E),MOT17,36.81486666666667,89.63373333333332,28.576066666666666,49.21493333333333,43.436400000000006,32.1462,79.95080000000002,31.434199999999997,14.0,41.333333333333336,42.733333333333334,110.13333333333334
yolo26,m,end2end,YOLO26-M (E2E),MOT20,6.563850666666667,80.70100000000001,5.437035999999998,18.527433333333338,9.901793333333332,5.828570666666667,76.254,6.140067999999998,3.0,672.6666666666666,35.666666666666664,113.2
yolo26,m,end2end,YOLO26-M (E2E),SOMPT22,29.006466666666665,97.20866666666664,24.313800000000004,36.43680000000001,32.296866666666666,21.322,74.01046666666666,27.935333333333332,20.333333333333332,47.666666666666664,97.06666666666666,240.8
yolo26,m,nms,YOLO26-M (NMS),MOT17,37.894733333333335,88.74513333333333,29.368533333333332,48.846666666666664,43.9126,32.77953333333334,78.17606666666669,31.901866666666667,14.333333333333334,39.93333333333333,44.0,93.26666666666667
yolo26,m,nms,YOLO26-M (NMS),MOT20,7.451559999999998,84.04286666666665,6.137028666666666,18.86466666666667,10.970310000000003,6.496599999999996,75.22993333333334,6.901760000000002,4.666666666666667,666.6666666666666,36.86666666666667,84.93333333333334
yolo26,m,nms,YOLO26-M (NMS),SOMPT22,30.94986666666667,97.14753333333334,25.860200000000003,37.56893333333334,34.011266666666664,22.847466666666666,73.84226666666667,29.7974,22.333333333333332,48.0,92.26666666666667,181.53333333333333
yolo26,n,end2end,YOLO26-N (E2E),MOT17,31.244199999999996,91.40513333333334,24.5024,45.4848,37.28966666666667,26.608999999999995,76.74306666666666,27.527733333333334,11.333333333333334,48.4,46.0,111.8
yolo26,n,end2end,YOLO26-N (E2E),MOT20,6.562282000000001,85.71573333333335,5.310654666666665,15.653340000000002,9.89146,5.625452666666669,72.83806666666666,6.023453333333335,3.6666666666666665,669.6666666666666,82.66666666666667,287.26666666666665
yolo26,n,end2end,YOLO26-N (E2E),SOMPT22,25.831599999999998,97.48100000000001,21.382866666666665,33.5568,29.29386666666667,18.977333333333334,73.9182,24.973733333333332,15.933333333333334,51.0,98.93333333333334,251.66666666666666
yolo26,n,nms,YOLO26-N (NMS),MOT17,32.318999999999996,91.13526666666667,25.194599999999998,44.46659999999999,37.53286666666667,26.996866666666666,75.16526666666667,28.249933333333335,11.333333333333334,49.2,45.0,77.33333333333333
yolo26,n,nms,YOLO26-N (NMS),MOT20,6.994154666666668,83.0482,5.624406,16.489606666666667,10.648439999999999,6.089772666666667,72.26546666666668,6.331784666666667,4.666666666666667,665.6666666666666,72.86666666666666,171.4
yolo26,n,nms,YOLO26-N (NMS),SOMPT22,27.539466666666666,97.93579999999999,22.750199999999996,33.87253333333333,30.5884,20.13113333333333,74.22086666666668,26.73573333333333,16.666666666666668,49.0,100.66666666666667,169.93333333333334
yolo26,s,end2end,YOLO26-S (E2E),MOT17,36.090933333333325,88.64626666666666,28.310333333333332,47.6354,42.354200000000006,30.991866666666663,77.30286666666667,30.701399999999996,13.0,41.0,46.0,104.4
yolo26,s,end2end,YOLO26-S (E2E),MOT20,7.023774666666666,84.593,5.7796600000000025,19.147266666666667,10.386569333333336,6.1257839999999995,79.31233333333334,6.561289866666667,3.7333333333333334,672.3333333333334,44.13333333333333,140.13333333333333
yolo26,s,end2end,YOLO26-S (E2E),SOMPT22,31.59306666666667,97.11293333333334,26.166400000000007,35.82586666666667,33.7234,22.855466666666665,71.63486666666667,30.420733333333335,22.266666666666666,47.666666666666664,104.26666666666667,305.6
yolo26,s,nms,YOLO26-S (NMS),MOT17,37.282066666666665,88.07586666666667,29.213466666666665,46.076666666666675,42.495599999999996,31.435466666666667,74.75513333333332,31.482933333333335,14.0,40.333333333333336,43.4,89.53333333333333
yolo26,s,nms,YOLO26-S (NMS),MOT20,7.091716666666664,81.37246666666668,5.817459333333334,18.722666666666665,10.594653333333335,6.264796666666666,75.20266666666666,6.547104333333335,4.0,672.0,47.0,107.2
yolo26,s,nms,YOLO26-S (NMS),SOMPT22,33.43,96.98173333333331,27.645933333333335,36.88793333333333,35.21726666666667,24.33313333333334,71.52033333333333,32.1828,25.0,47.333333333333336,104.4,219.13333333333333
yolo26,x,end2end,YOLO26-X (E2E),MOT17,38.019733333333335,89.12219999999999,29.273533333333333,47.3622,43.23619999999999,32.4366,77.98226666666667,31.99953333333333,15.066666666666666,39.666666666666664,51.666666666666664,175.73333333333332
yolo26,x,end2end,YOLO26-X (E2E),MOT20,7.266628666666667,84.536,6.056008666666666,19.78913333333333,11.189086666666666,6.477230666666667,74.88066666666667,6.628211333333332,4.0,665.3333333333334,47.8,295.6
yolo26,x,end2end,YOLO26-X (E2E),SOMPT22,27.478199999999998,96.94946666666667,23.096333333333334,37.83239999999999,32.281600000000005,20.959733333333336,75.4484,26.3838,19.666666666666668,50.333333333333336,83.06666666666666,287.73333333333335
yolo26,x,nms,YOLO26-X (NMS),MOT17,39.4234,88.45799999999998,30.358333333333334,49.38406666666667,45.370533333333334,34.43306666666667,78.22800000000001,32.93906666666667,16.333333333333332,39.0,48.0,91.33333333333333
yolo26,x,nms,YOLO26-X (NMS),MOT20,8.782720000000001,85.06346666666668,7.246146666666667,21.263133333333332,13.302366666666666,7.78974,76.22460000000001,7.971827333333333,5.066666666666666,651.1333333333333,47.333333333333336,97.8
yolo26,x,nms,YOLO26-X (NMS),SOMPT22,30.131066666666666,97.08873333333332,25.227866666666664,39.656400000000005,34.86913333333334,23.140200000000004,76.62353333333334,28.977933333333333,21.666666666666668,47.666666666666664,75.2,149.93333333333334
