family,scale,mode,label,sparse_benchmark,dense_benchmark,HOTA_MOT17,HOTA_MOT20,HOTA_delta,DetA_MOT17,DetA_MOT20,DetA_delta,AssA_MOT17,AssA_MOT20,AssA_delta
rtdetr,l,nms,RT-DETR-L,MOT17,MOT20,39.02786666666666,11.685286666666668,-27.34257999999999,31.579133333333328,6.544374666666667,-25.03475866666666,50.94033333333333,28.214800000000007,-22.72553333333332
rtdetr,x,nms,RT-DETR-X,MOT17,MOT20,38.62513333333334,13.16261333333333,-25.46252000000001,32.842466666666674,7.748048666666666,-25.094418000000008,47.415200000000006,28.46566666666666,-18.949533333333346
yolo11,l,nms,YOLO11-L,MOT17,MOT20,37.845733333333335,8.5694,-29.276333333333334,28.001199999999997,4.6205252666666645,-23.380674733333333,54.27733333333333,21.269599999999993,-33.007733333333334
yolo11,m,nms,YOLO11-M,MOT17,MOT20,36.89253333333333,9.650853333333334,-27.24168,28.36726666666667,5.693589333333334,-22.673677333333337,51.30113333333334,21.106866666666672,-30.194266666666667
yolo11,n,nms,YOLO11-N,MOT17,MOT20,34.462599999999995,10.75448,-23.708119999999994,25.24593333333333,6.425443333333334,-18.820489999999996,49.85193333333334,21.533200000000004,-28.318733333333338
yolo11,s,nms,YOLO11-S,MOT17,MOT20,36.625066666666676,10.880086666666667,-25.74498000000001,28.1602,6.8470466666666665,-21.313153333333332,50.20446666666667,19.73346666666667,-30.471
yolo11,x,nms,YOLO11-X,MOT17,MOT20,36.635466666666666,9.029620000000003,-27.605846666666665,28.056733333333334,4.883257333333333,-23.173476,51.38986666666667,21.513533333333335,-29.876333333333335
yolo26,l,end2end,YOLO26-L (E2E),MOT17,MOT20,37.5966,8.543273333333333,-29.05332666666667,28.290666666666667,4.745609333333333,-23.545057333333332,53.32340000000001,19.026066666666665,-34.29733333333334
yolo26,l,nms,YOLO26-L (NMS),MOT17,MOT20,38.185066666666664,9.334593333333332,-28.850473333333333,28.536533333333328,5.236819333333332,-23.299713999999994,54.675533333333334,21.086733333333335,-33.5888
yolo26,m,end2end,YOLO26-M (E2E),MOT17,MOT20,38.13006666666666,7.54262,-30.587446666666658,28.324066666666667,4.425687999999999,-23.898378666666666,54.85753333333332,15.08746666666667,-39.77006666666665
yolo26,m,nms,YOLO26-M (NMS),MOT17,MOT20,38.07726666666666,8.025653666666669,-30.05161299999999,28.3372,4.756249366666667,-23.58095063333333,54.51206666666668,16.358649999999997,-38.153416666666686
yolo26,n,end2end,YOLO26-N (E2E),MOT17,MOT20,32.6258,7.954113333333336,-24.671686666666663,24.09293333333333,4.4198986666666675,-19.673034666666663,48.05273333333333,17.01818,-31.034553333333328
yolo26,n,nms,YOLO26-N (NMS),MOT17,MOT20,33.4344,7.587353333333334,-25.847046666666664,23.739266666666666,3.9718773333333326,-19.767389333333334,50.72953333333333,18.91866666666666,-31.81086666666667
yolo26,s,end2end,YOLO26-S (E2E),MOT17,MOT20,36.58253333333334,8.182259999999998,-28.400273333333338,27.890533333333334,4.723782733333335,-23.1667506,50.556266666666666,20.688666666666666,-29.8676
yolo26,s,nms,YOLO26-S (NMS),MOT17,MOT20,37.01193333333333,8.118,-28.89393333333333,27.85533333333333,4.705581666666668,-23.149751666666663,51.61900000000001,22.009800000000002,-29.609200000000005
yolo26,x,end2end,YOLO26-X (E2E),MOT17,MOT20,37.156,8.447093333333335,-28.708906666666664,28.791066666666666,4.435205333333332,-24.355861333333333,51.18953333333334,21.1234,-30.066133333333337
yolo26,x,nms,YOLO26-X (NMS),MOT17,MOT20,37.9008,9.631013333333332,-28.269786666666665,29.416466666666665,5.073011333333333,-24.34345533333333,52.68586666666667,23.586999999999996,-29.098866666666673
