family,scale,mode,label,sparse_benchmark,dense_benchmark,HOTA_MOT17,HOTA_MOT20,HOTA_delta,DetA_MOT17,DetA_MOT20,DetA_delta,AssA_MOT17,AssA_MOT20,AssA_delta
rtdetr,l,nms,RT-DETR-L,MOT17,MOT20,38.373999999999995,16.850753333333333,-21.52324666666666,34.45933333333333,11.822753333333333,-22.636580000000002,43.78446666666667,25.581133333333334,-18.203333333333333
rtdetr,x,nms,RT-DETR-X,MOT17,MOT20,39.197066666666665,17.644920000000003,-21.552146666666662,35.413866666666664,12.773000000000001,-22.64086666666666,44.27333333333333,25.646199999999997,-18.627133333333337
yolo11,l,nms,YOLO11-L,MOT17,MOT20,36.13166666666667,10.074213333333331,-26.057453333333335,29.4044,6.016187333333335,-23.388212666666664,46.03513333333333,19.177333333333326,-26.8578
yolo11,m,nms,YOLO11-M,MOT17,MOT20,36.943599999999996,11.244240000000001,-25.699359999999995,29.57673333333333,7.2862133333333325,-22.290519999999997,48.242333333333335,19.457199999999997,-28.785133333333338
yolo11,n,nms,YOLO11-N,MOT17,MOT20,34.4302,12.602319999999999,-21.82788,26.872533333333333,8.703337333333332,-18.169196,46.050533333333334,19.459026666666666,-26.591506666666668
yolo11,s,nms,YOLO11-S,MOT17,MOT20,36.09113333333334,12.365346666666666,-23.72578666666667,29.293133333333333,8.433126666666668,-20.860006666666663,46.30313333333333,19.436333333333334,-26.866799999999994
yolo11,x,nms,YOLO11-X,MOT17,MOT20,36.5628,10.66555333333333,-25.897246666666675,28.624799999999997,6.4603139999999994,-22.164485999999997,49.22473333333334,19.6463,-29.57843333333334
yolo26,l,end2end,YOLO26-L (E2E),MOT17,MOT20,36.76273333333334,9.982153333333331,-26.780580000000008,28.7598,6.045553333333334,-22.714246666666664,49.641200000000005,18.153533333333332,-31.487666666666673
yolo26,l,nms,YOLO26-L (NMS),MOT17,MOT20,37.10926666666668,11.005873333333335,-26.103393333333344,29.629999999999995,6.815526666666667,-22.81447333333333,48.66746666666666,19.672066666666662,-28.9954
yolo26,m,end2end,YOLO26-M (E2E),MOT17,MOT20,36.38033333333333,8.807216666666669,-27.573116666666664,28.576066666666666,5.437035999999998,-23.139030666666667,49.21493333333333,18.527433333333338,-30.68749999999999
yolo26,m,nms,YOLO26-M (NMS),MOT17,MOT20,36.919,9.760093333333336,-27.15890666666666,29.368533333333332,6.137028666666666,-23.231504666666666,48.846666666666664,18.86466666666667,-29.981999999999996
yolo26,n,end2end,YOLO26-N (E2E),MOT17,MOT20,32.53873333333334,8.815293333333333,-23.723440000000007,24.5024,5.310654666666665,-19.191745333333337,45.4848,15.653340000000002,-29.83146
yolo26,n,nms,YOLO26-N (NMS),MOT17,MOT20,32.63306666666667,9.277573333333333,-23.35549333333334,25.194599999999998,5.624406,-19.570193999999997,44.46659999999999,16.489606666666667,-27.976993333333326
yolo26,s,end2end,YOLO26-S (E2E),MOT17,MOT20,35.8442,9.236766666666666,-26.607433333333333,28.310333333333332,5.7796600000000025,-22.53067333333333,47.6354,19.147266666666667,-28.48813333333333
yolo26,s,nms,YOLO26-S (NMS),MOT17,MOT20,35.98433333333334,9.318606666666666,-26.66572666666667,29.213466666666665,5.817459333333334,-23.39600733333333,46.076666666666675,18.722666666666665,-27.35400000000001
yolo26,x,end2end,YOLO26-X (E2E),MOT17,MOT20,36.17633333333333,10.360726666666665,-25.815606666666667,29.273533333333333,6.056008666666666,-23.217524666666666,47.3622,19.78913333333333,-27.573066666666673
yolo26,x,nms,YOLO26-X (NMS),MOT17,MOT20,37.837666666666664,11.860520000000001,-25.977146666666663,30.358333333333334,7.246146666666667,-23.112186666666666,49.38406666666667,21.263133333333332,-28.120933333333337
