dataset,,,MOT17,MOT17,MOT17,MOT17,SOMPT22,SOMPT22,SOMPT22,SOMPT22,MOT20,MOT20,MOT20,MOT20
metric,,,HOTA,DetA,AssA,LocA,HOTA,DetA,AssA,LocA,HOTA,DetA,AssA,LocA
family,scale,mode,,,,,,,,,,,,
rtdetr,l,nms,39.02786666666667,31.579133333333335,50.940333333333335,83.26546666666667,31.632866666666665,23.784399999999998,43.0168,84.37053333333333,11.685286666666666,6.544374666666667,28.2148,80.15973333333334
rtdetr,x,nms,38.62513333333333,32.84246666666667,47.415200000000006,83.05406666666666,32.087066666666665,24.076133333333335,43.7798,84.39573333333334,13.162613333333333,7.748048666666667,28.465666666666667,80.41793333333334
yolo11,l,nms,37.845733333333335,28.001199999999997,54.27733333333333,84.72006666666667,29.848200000000002,22.085666666666665,41.57706666666666,85.4154,8.5694,4.620525266666666,21.2696,83.94393333333333
yolo11,m,nms,36.89253333333333,28.36726666666667,51.30113333333334,84.39073333333333,30.334200000000003,23.6076,41.181466666666665,85.33786666666667,9.650853333333334,5.693589333333334,21.10686666666667,83.38966666666667
yolo11,n,nms,34.462599999999995,25.24593333333333,49.851933333333335,83.96340000000001,27.526866666666667,20.766866666666665,38.72266666666667,84.88306666666668,10.75448,6.425443333333333,21.5332,81.89966666666666
yolo11,s,nms,36.62506666666666,28.1602,50.20446666666667,84.26826666666668,30.3372,24.125733333333336,40.57906666666667,85.02539999999999,10.880086666666667,6.847046666666667,19.73346666666667,81.95613333333334
yolo11,x,nms,36.635466666666666,28.056733333333334,51.38986666666666,84.47,29.924466666666664,23.1234,40.42473333333333,85.45753333333333,9.02962,4.883257333333334,21.513533333333335,82.99293333333334
yolo26,l,end2end,37.596599999999995,28.290666666666667,53.3234,84.39433333333334,29.601266666666668,22.726733333333335,39.73546666666667,85.304,8.543273333333333,4.745609333333333,19.02606666666667,83.77040000000001
yolo26,l,nms,38.185066666666664,28.536533333333335,54.675533333333334,84.421,31.7856,23.76493333333333,44.06813333333333,85.17546666666667,9.334593333333334,5.236819333333333,21.08673333333333,83.80126666666666
yolo26,m,end2end,38.13006666666667,28.324066666666667,54.85753333333333,84.22766666666666,28.706266666666668,21.521066666666666,40.495666666666665,85.64033333333333,7.54262,4.425687999999999,15.087466666666668,89.24313333333333
yolo26,m,nms,38.07726666666667,28.3372,54.51206666666666,84.169,29.771866666666664,22.439466666666664,41.498466666666666,85.46413333333334,8.025653666666667,4.756249366666666,16.35865,85.96973333333334
yolo26,n,end2end,32.6258,24.092933333333335,48.05273333333333,83.6696,25.718666666666664,19.225666666666665,36.798199999999994,84.70893333333333,7.954113333333334,4.419898666666667,17.01818,82.25800000000001
yolo26,n,nms,33.434400000000004,23.739266666666666,50.72953333333333,83.75853333333333,25.728733333333334,19.081933333333332,36.995533333333334,84.77273333333333,7.587353333333334,3.971877333333333,18.91866666666667,81.92966666666666
yolo26,s,end2end,36.58253333333334,27.890533333333334,50.55626666666667,84.02633333333333,29.87793333333333,23.53666666666667,39.72806666666667,85.1414,8.182260000000001,4.7237827333333335,20.688666666666666,84.52326666666666
yolo26,s,nms,37.01193333333333,27.85533333333333,51.619,83.9412,31.1646,24.2838,42.24166666666667,85.08266666666667,8.118,4.705581666666666,22.0098,84.49886666666666
yolo26,x,end2end,37.156,28.791066666666666,51.18953333333333,84.18493333333335,28.305666666666664,20.485666666666663,40.3372,85.67853333333332,8.447093333333333,4.435205333333333,21.1234,83.8956
yolo26,x,nms,37.900800000000004,29.41646666666667,52.68586666666667,84.0972,29.36913333333333,21.749266666666667,41.1916,85.52606666666667,9.631013333333334,5.073011333333333,23.587,83.33613333333332
