dataset,,,MOT17,MOT17,MOT17,MOT17,SOMPT22,SOMPT22,SOMPT22,SOMPT22,MOT20,MOT20,MOT20,MOT20
metric,,,HOTA,DetA,AssA,LocA,HOTA,DetA,AssA,LocA,HOTA,DetA,AssA,LocA
family,scale,mode,,,,,,,,,,,,
rtdetr,l,nms,38.374,34.45933333333333,43.78446666666667,81.64959999999999,34.1102,31.0306,38.3664,83.58786666666667,16.850753333333333,11.822753333333333,25.581133333333334,79.953
rtdetr,x,nms,39.197066666666665,35.413866666666664,44.27333333333333,81.548,34.18446666666667,31.6508,38.308933333333336,83.62046666666667,17.644920000000003,12.773,25.6462,79.85346666666666
yolo11,l,nms,36.13166666666667,29.404400000000003,46.035133333333334,83.44946666666667,30.237466666666666,25.493933333333334,37.11353333333333,85.01166666666667,10.074213333333335,6.016187333333334,19.177333333333333,83.27426666666666
yolo11,m,nms,36.943599999999996,29.576733333333333,48.242333333333335,83.157,30.954866666666664,27.165333333333333,37.299200000000006,84.74053333333333,11.24424,7.286213333333333,19.4572,82.54926666666667
yolo11,n,nms,34.4302,26.87253333333333,46.050533333333334,82.57866666666668,28.096600000000002,24.34146666666667,34.177,84.39553333333333,12.602319999999999,8.703337333333334,19.459026666666666,80.99433333333333
yolo11,s,nms,36.09113333333333,29.293133333333333,46.303133333333335,82.8098,30.849666666666668,27.44386666666667,36.708800000000004,84.53693333333334,12.365346666666666,8.433126666666666,19.436333333333334,81.71506666666667
yolo11,x,nms,36.5628,28.6248,49.22473333333333,83.25666666666666,31.3216,26.8392,37.75833333333333,85.16306666666667,10.665553333333333,6.4603139999999994,19.6463,82.903
yolo26,l,end2end,36.76273333333334,28.7598,49.6412,83.0076,30.6564,26.011599999999998,37.06766666666667,84.86999999999999,9.982153333333335,6.045553333333333,18.153533333333332,83.35106666666667
yolo26,l,nms,37.10926666666667,29.63,48.66746666666666,83.09626666666666,31.951533333333334,27.36733333333333,38.49086666666667,84.7334,11.005873333333334,6.815526666666667,19.67206666666667,83.1552
yolo26,m,end2end,36.38033333333333,28.576066666666666,49.214933333333335,83.1102,28.878466666666668,24.3138,36.4368,85.17186666666666,8.807216666666667,5.437036000000001,18.52743333333333,83.8894
yolo26,m,nms,36.919,29.368533333333335,48.84666666666667,82.991,30.354599999999998,25.860200000000003,37.568933333333334,85.07199999999999,9.760093333333334,6.137028666666667,18.86466666666667,83.46693333333333
yolo26,n,end2end,32.53873333333333,24.5024,45.4848,82.59020000000001,26.000866666666663,21.382866666666665,33.556799999999996,84.38186666666667,8.815293333333333,5.310654666666666,15.653339999999998,82.03726666666667
yolo26,n,nms,32.63306666666667,25.194599999999998,44.4666,82.51013333333334,26.787333333333333,22.7502,33.87253333333334,84.3614,9.277573333333333,5.624406,16.489606666666667,81.30040000000001
yolo26,s,end2end,35.8442,28.310333333333332,47.6354,82.82333333333332,29.945066666666666,26.1664,35.82586666666667,84.62806666666667,9.236766666666666,5.779660000000001,19.147266666666667,83.63173333333334
yolo26,s,nms,35.98433333333333,29.213466666666665,46.07666666666667,82.68813333333333,31.2556,27.645933333333335,36.88793333333333,84.53473333333334,9.318606666666666,5.817459333333333,18.722666666666665,83.12333333333332
yolo26,x,end2end,36.17633333333333,29.273533333333333,47.3622,82.97013333333334,28.9952,23.096333333333334,37.8324,85.3108,10.360726666666666,6.056008666666667,19.789133333333332,83.05413333333333
yolo26,x,nms,37.837666666666664,30.358333333333334,49.38406666666666,82.93813333333334,30.886133333333337,25.227866666666667,39.6564,85.1558,11.860520000000001,7.246146666666666,21.263133333333332,82.76713333333333
