tracker,parameter,value,source
bytetrack,det_thresh,0.45,"BoxMOT, derived"
bytetrack,max_age,30,BoxMOT default
bytetrack,max_obs,50,BoxMOT default
bytetrack,min_hits,3,BoxMOT default
bytetrack,iou_threshold,0.3,BoxMOT default
bytetrack,per_class,False,set by core.track
bytetrack,nr_classes,80,BoxMOT default
bytetrack,asso_func,iou,BoxMOT default
bytetrack,is_obb,False,BoxMOT default
bytetrack,min_conf,0.1,BoxMOT default
bytetrack,track_thresh,0.45,BoxMOT default
bytetrack,match_thresh,0.8,BoxMOT default
bytetrack,track_buffer,25,BoxMOT default
bytetrack,frame_rate,seqinfo.ini frameRate,set by core.track
botsort,det_thresh,0.3,BoxMOT default
botsort,max_age,30,BoxMOT default
botsort,max_obs,50,BoxMOT default
botsort,min_hits,3,BoxMOT default
botsort,iou_threshold,0.3,BoxMOT default
botsort,per_class,False,set by core.track
botsort,nr_classes,80,BoxMOT default
botsort,asso_func,iou,BoxMOT default
botsort,is_obb,False,BoxMOT default
botsort,track_high_thresh,0.5,BoxMOT default
botsort,track_low_thresh,0.1,BoxMOT default
botsort,new_track_thresh,0.6,BoxMOT default
botsort,track_buffer,30,BoxMOT default
botsort,match_thresh,0.8,BoxMOT default
botsort,proximity_thresh,0.5,BoxMOT default
botsort,appearance_thresh,0.25,BoxMOT default
botsort,cmc_method,ecc,BoxMOT default
botsort,frame_rate,seqinfo.ini frameRate,set by core.track
botsort,fuse_first_associate,False,BoxMOT default
botsort,with_reid,True,set by core.track
botsort,half,False,set by core.track
