family,scale,label,params_m,gflops
yolo11,n,YOLO11-N,2.616248,6.4835199999999995
yolo11,s,YOLO11-S,9.44376,21.4717952
yolo11,m,YOLO11-M,20.091712,67.98975999999999
yolo11,l,YOLO11-L,25.340992,86.91839999999999
yolo11,x,YOLO11-X,56.919424,194.916096
rtdetr,l,RT-DETR-L,32.14814,103.7848576
rtdetr,x,RT-DETR-X,65.631836,222.8226048
yolo26,n,YOLO26-N,2.408932,5.3598848
yolo26,s,YOLO26-S,9.49614,20.6923776
yolo26,m,YOLO26-M,20.411132,68.18816
yolo26,l,YOLO26-L,24.80742,86.4352256
yolo26,x,YOLO26-X,55.725948,193.8772992
