dataset,sequence,family,scale,mode,tracker,density,HOTA,IDF1,MOTA,IDSW,Frag,FPS_mean,FPS_std,Lat_mean,Lat_std,Runs
MOT17,MOT17-02,rtdetr,l,nms,botsort,31.0,33.4496,37.2812,23.5518,25.2,77.2,22.238368859299236,1.965356284182548,44.9673268002225,3.827488826486131,5
MOT17,MOT17-02,rtdetr,l,nms,bytetrack,31.0,29.2964,33.8258,24.666800000000002,63.0,107.4,45.14297017859754,2.787308854845234,22.151843266930275,1.3935328174571624,5
MOT17,MOT17-02,rtdetr,x,nms,botsort,31.0,29.1726,32.3492,22.9212,26.4,77.4,20.771728785482285,1.6797524090710718,48.142357832965594,3.7807404177217365,5
MOT17,MOT17-02,rtdetr,x,nms,bytetrack,31.0,28.833799999999997,33.797399999999996,23.408799999999996,64.0,99.0,36.34958872345977,1.247232965581678,27.510627633445743,0.9428181886972632,5
MOT17,MOT17-02,yolo11,l,nms,botsort,31.0,31.641000000000002,30.9846,19.166800000000002,14.0,38.0,26.537485278491975,2.915967263500107,37.682545633307505,3.945955799125746,5
MOT17,MOT17-02,yolo11,l,nms,bytetrack,31.0,29.194599999999998,31.228,21.441,33.0,78.0,71.337692131397,1.6272860794845792,14.017835033941083,0.3129241531954625,5
MOT17,MOT17-02,yolo11,m,nms,botsort,31.0,30.5096,32.037,21.43,21.0,53.0,27.875371208040942,2.9547021947150416,35.87396173262581,3.6505920769136675,5
MOT17,MOT17-02,yolo11,m,nms,bytetrack,31.0,31.4084,33.75359999999999,23.137399999999996,37.0,81.8,81.95449091187757,3.524535541613938,12.201893866624838,0.549887155442783,5
MOT17,MOT17-02,yolo11,n,nms,botsort,31.0,28.367,26.391,17.195,14.0,37.0,31.498190252262752,3.793699438478311,31.74785573365322,3.964904196117203,5
MOT17,MOT17-02,yolo11,n,nms,bytetrack,31.0,27.541200000000003,27.458,18.734,23.0,45.0,83.92763071478922,9.004758858027317,11.915027166658549,1.2496803264602585,5
