dataset,,,MOT17,MOT17,MOT17,MOT17,MOT17,SOMPT22,SOMPT22,SOMPT22,SOMPT22,SOMPT22,MOT20,MOT20,MOT20,MOT20,MOT20
metric,,,HOTA,IDF1,MOTA,IDSW,Frag,HOTA,IDF1,MOTA,IDSW,Frag,HOTA,IDF1,MOTA,IDSW,Frag
family,scale,mode,,,,,,,,,,,,,,,
rtdetr,l,nms,39.02786666666667,46.86273333333334,34.74693333333333,36.733333333333334,90.4,31.632866666666665,36.40173333333334,27.551266666666667,35.93333333333333,114.26666666666667,11.685286666666666,12.173200000000001,7.207676666666667,21.333333333333332,76.6
rtdetr,x,nms,38.62513333333333,46.476533333333336,35.54886666666667,35.46666666666667,90.8,32.087066666666665,36.427533333333336,27.973200000000002,36.0,104.33333333333333,13.162613333333333,14.070093333333334,8.64005,29.266666666666666,98.33333333333333
yolo11,l,nms,37.845733333333335,43.86953333333334,30.916533333333334,24.2,66.8,29.848200000000002,33.58506666666667,25.447866666666663,36.666666666666664,104.66666666666667,8.5694,8.682723333333334,5.12113,9.666666666666666,40.733333333333334
yolo11,m,nms,36.89253333333333,42.87839999999999,31.384933333333333,24.666666666666668,65.0,30.334200000000003,34.269666666666666,27.3726,46.6,117.2,9.650853333333334,10.135760666666666,6.363214,22.8,67.46666666666667
yolo11,n,nms,34.462599999999995,39.2966,28.5836,22.666666666666668,66.06666666666666,27.526866666666667,31.361533333333334,24.3024,47.86666666666667,115.26666666666667,10.75448,12.359918,7.474093333333333,34.53333333333333,135.13333333333333
yolo11,s,nms,36.62506666666666,42.34773333333333,31.106199999999998,22.333333333333332,70.13333333333334,30.3372,34.85493333333333,28.142133333333334,54.0,137.33333333333334,10.880086666666667,12.110333333333333,7.756886666666667,44.666666666666664,150.2
yolo11,x,nms,36.635466666666666,42.21366666666667,31.007533333333335,27.0,75.0,29.924466666666664,34.365066666666664,26.74813333333333,39.06666666666667,105.26666666666667,9.02962,8.982036666666666,5.2721599999999995,11.333333333333334,38.86666666666667
yolo26,l,end2end,37.596599999999995,43.928999999999995,30.9144,23.533333333333335,115.13333333333334,29.601266666666668,33.234,26.17526666666667,51.6,239.26666666666668,8.543273333333333,9.004145999999999,5.203848,18.333333333333332,141.73333333333332
yolo26,l,nms,38.185066666666664,44.551533333333325,31.12366666666667,20.666666666666668,71.66666666666667,31.7856,36.05073333333333,27.466533333333334,41.666666666666664,112.33333333333333,9.334593333333334,9.821115333333333,5.814600666666666,12.666666666666666,45.733333333333334
yolo26,m,end2end,38.13006666666667,44.9022,31.530466666666666,24.0,94.0,28.706266666666668,32.33,24.7378,40.666666666666664,150.26666666666668,7.54262,8.09694,4.994334666666666,12.8,54.8
yolo26,m,nms,38.07726666666667,44.50253333333333,30.977533333333334,25.666666666666668,73.33333333333333,29.771866666666664,33.58913333333333,25.873,40.93333333333333,104.26666666666667,8.025653666666667,8.584066666666667,5.291016,16.333333333333332,42.13333333333333
yolo26,n,end2end,32.6258,36.571400000000004,26.920866666666665,27.6,90.93333333333334,25.718666666666664,28.9918,22.695133333333334,52.733333333333334,168.53333333333333,7.954113333333334,8.387370666666666,5.047264666666666,26.266666666666666,136.8
yolo26,n,nms,33.434400000000004,37.107533333333336,26.544533333333334,21.333333333333332,57.93333333333333,25.728733333333334,29.375133333333334,22.480866666666667,44.666666666666664,93.93333333333334,7.587353333333334,7.618903333333334,4.453321333333333,17.0,60.93333333333333
yolo26,s,end2end,36.58253333333334,42.69733333333333,30.7678,29.866666666666667,87.33333333333333,29.87793333333333,34.019733333333335,27.295,47.6,193.66666666666666,8.182260000000001,8.563317066666666,5.314589333333333,17.733333333333334,70.8
yolo26,s,nms,37.01193333333333,43.14006666666667,30.407866666666667,27.2,76.13333333333334,31.1646,35.40186666666667,28.2624,45.53333333333333,122.4,8.118,8.629918666666667,5.258572333333333,18.0,49.4
yolo26,x,end2end,37.156,43.522333333333336,31.796400000000002,28.8,136.53333333333333,28.305666666666664,31.5928,23.490866666666665,41.333333333333336,187.2,8.447093333333333,8.356944,4.839685933333333,13.266666666666667,127.33333333333333
yolo26,x,nms,37.900800000000004,44.13986666666666,32.422066666666666,25.333333333333332,73.53333333333333,29.36913333333333,33.16393333333333,25.009466666666665,34.666666666666664,93.26666666666667,9.631013333333334,9.479339333333334,5.606734,12.0,38.266666666666666
