family,scale,mode,label,dataset,metric,mean,std,n,ci_low,ci_high,ci_half_width
rtdetr,l,nms,RT-DETR-L,MOT17,HOTA,39.02786666666666,5.721161830890479,15,35.85959284841405,42.19614048491927,3.1682738182526116
rtdetr,l,nms,RT-DETR-L,MOT20,HOTA,11.685286666666668,9.63563044982132,15,6.349252382215236,17.0213209511181,5.336034284451432
rtdetr,l,nms,RT-DETR-L,SOMPT22,HOTA,31.63286666666666,4.894958906389112,15,28.92212877758982,34.343604555743504,2.7107378890768423
rtdetr,x,nms,RT-DETR-X,MOT17,HOTA,38.62513333333334,7.508898843245607,15,34.46684375646613,42.78342291020054,4.1582895768672055
rtdetr,x,nms,RT-DETR-X,MOT20,HOTA,13.16261333333333,10.071682866253331,15,7.585101269507092,18.740125397159566,5.577512063826237
rtdetr,x,nms,RT-DETR-X,SOMPT22,HOTA,32.087066666666665,4.25605326004985,15,29.73014293133408,34.44399040199925,2.3569237353325874
yolo11,l,nms,YOLO11-L,MOT17,HOTA,37.845733333333335,7.463335863373952,15,33.71267569369775,41.97879097296892,4.133057639635592
yolo11,l,nms,YOLO11-L,MOT20,HOTA,8.5694,8.426530115822118,15,3.902943162417243,13.235856837582757,4.666456837582757
yolo11,l,nms,YOLO11-L,SOMPT22,HOTA,29.8482,4.4798781424753695,15,27.36732617623723,32.32907382376277,2.480873823762767
yolo11,m,nms,YOLO11-M,MOT17,HOTA,36.89253333333333,6.717229029748444,15,33.17265588619496,40.612410780471706,3.719877447138375
yolo11,m,nms,YOLO11-M,MOT20,HOTA,9.650853333333334,9.33467706388134,15,4.48148147888691,14.820225187779759,5.169371854446424
yolo11,m,nms,YOLO11-M,SOMPT22,HOTA,30.3342,3.9788567848423138,15,28.130782556024187,32.53761744397581,2.2034174439758107
yolo11,n,nms,YOLO11-N,MOT17,HOTA,34.462599999999995,7.625967355967749,15,30.239480041688815,38.685719958311175,4.22311995831118
yolo11,n,nms,YOLO11-N,MOT20,HOTA,10.75448,8.486634875177051,15,6.054738256126281,15.454221743873717,4.699741743873719
yolo11,n,nms,YOLO11-N,SOMPT22,HOTA,27.526866666666667,4.448736800914337,15,25.063238343039966,29.990494990293367,2.4636283236267005
yolo11,s,nms,YOLO11-S,MOT17,HOTA,36.625066666666676,6.236187840416,15,33.17158095091302,40.078552382420334,3.453485715753657
yolo11,s,nms,YOLO11-S,MOT20,HOTA,10.880086666666667,9.26385763135937,15,5.749933306735009,16.010240026598325,5.130153359931658
yolo11,s,nms,YOLO11-S,SOMPT22,HOTA,30.3372,4.8785989382198665,15,27.635521959315874,33.038878040684125,2.701678040684125
yolo11,x,nms,YOLO11-X,MOT17,HOTA,36.635466666666666,7.842471939625255,15,32.29245046626177,40.97848286707156,4.343016200404893
yolo11,x,nms,YOLO11-X,MOT20,HOTA,9.029620000000003,8.820387661321922,15,4.145052123713409,13.914187876286597,4.884567876286594
yolo11,x,nms,YOLO11-X,SOMPT22,HOTA,29.92446666666666,4.512223950664724,15,27.42568033138163,32.42325300195169,2.4987863352850295
yolo26,l,end2end,YOLO26-L (E2E),MOT17,HOTA,37.5966,7.571695826280548,15,33.403534613062085,41.78966538693792,4.193065386937918
yolo26,l,end2end,YOLO26-L (E2E),MOT20,HOTA,8.543273333333333,8.36383519756907,15,3.9115357842290326,13.175010882437634,4.631737549104301
yolo26,l,end2end,YOLO26-L (E2E),SOMPT22,HOTA,29.601266666666668,5.170291888232598,15,26.738054454460887,32.46447887887245,2.8632122122057804
yolo26,l,nms,YOLO26-L (NMS),MOT17,HOTA,38.185066666666664,7.016147400987307,15,34.29965374310157,42.070479590231756,3.885412923565092
yolo26,l,nms,YOLO26-L (NMS),MOT20,HOTA,9.334593333333332,8.601850926853448,15,4.571047066749242,14.098139599917424,4.763546266584091
yolo26,l,nms,YOLO26-L (NMS),SOMPT22,HOTA,31.785599999999995,5.880199593308279,15,28.529254004508626,35.04194599549136,3.256345995491368
yolo26,m,end2end,YOLO26-M (E2E),MOT17,HOTA,38.13006666666666,7.403754361004641,15,34.03000416326189,42.23012917007142,4.1000625034047635
yolo26,m,end2end,YOLO26-M (E2E),MOT20,HOTA,7.54262,8.815527741531662,15,2.6607434575867375,12.424496542413262,4.881876542413263
yolo26,m,end2end,YOLO26-M (E2E),SOMPT22,HOTA,28.70626666666666,3.9112064354815614,15,26.54031273744725,30.872220595886073,2.165953929219411
yolo26,m,nms,YOLO26-M (NMS),MOT17,HOTA,38.07726666666666,6.969042129986288,15,34.21793977269234,41.93659356064098,3.8593268939743175
yolo26,m,nms,YOLO26-M (NMS),MOT20,HOTA,8.025653666666669,8.98083882713001,15,3.0522308964329925,12.999076436900346,4.973422770233676
yolo26,m,nms,YOLO26-M (NMS),SOMPT22,HOTA,29.771866666666664,5.08317491993603,15,26.956898223460616,32.586835109872716,2.8149684432060487
yolo26,n,end2end,YOLO26-N (E2E),MOT17,HOTA,32.6258,7.264528076305342,15,28.602838443162362,36.648761556837634,4.022961556837637
yolo26,n,end2end,YOLO26-N (E2E),MOT20,HOTA,7.954113333333336,7.443161148316589,15,3.832228078502842,12.075998588163829,4.121885254830493
yolo26,n,end2end,YOLO26-N (E2E),SOMPT22,HOTA,25.718666666666667,4.311666029782566,15,23.330945605980805,28.10638772735253,2.3877210606858634
yolo26,n,nms,YOLO26-N (NMS),MOT17,HOTA,33.4344,8.096678391255798,15,28.950608958935405,37.91819104106459,4.483791041064591
yolo26,n,nms,YOLO26-N (NMS),MOT20,HOTA,7.587353333333334,7.1939635789683996,15,3.6034690926106987,11.571237574055969,3.983884240722635
yolo26,n,nms,YOLO26-N (NMS),SOMPT22,HOTA,25.728733333333334,5.343252787617386,15,22.7697385676358,28.687728099030867,2.958994765697534
yolo26,s,end2end,YOLO26-S (E2E),MOT17,HOTA,36.58253333333334,7.1859524854962356,15,32.603085488303336,40.56198117836334,3.9794478450299993
yolo26,s,end2end,YOLO26-S (E2E),MOT20,HOTA,8.182259999999998,9.008325228269998,15,3.1936157681709476,13.170904231829049,4.98864423182905
