family,scale,mode,label,dataset,metric,mean,std,n,ci_low,ci_high,ci_half_width
rtdetr,l,nms,RT-DETR-L,MOT17,HOTA,38.373999999999995,6.893465383970532,15,34.55652611294074,42.19147388705925,3.817473887059255
rtdetr,l,nms,RT-DETR-L,MOT20,HOTA,16.850753333333333,8.511607036097967,15,12.137182467688625,21.564324198978042,4.713570865644709
rtdetr,l,nms,RT-DETR-L,SOMPT22,HOTA,34.1102,5.692228313360996,15,30.957949029687757,37.26245097031224,3.1522509703122403
rtdetr,x,nms,RT-DETR-X,MOT17,HOTA,39.197066666666665,7.702763933129705,15,34.93141818146783,43.462715151865495,4.265648485198834
rtdetr,x,nms,RT-DETR-X,MOT20,HOTA,17.644920000000003,9.036204869238919,15,12.64083653761691,22.649003462383096,5.004083462383094
rtdetr,x,nms,RT-DETR-X,SOMPT22,HOTA,34.18446666666667,4.609955854555701,15,31.631558206984828,36.73737512634852,2.552908459681844
yolo11,l,nms,YOLO11-L,MOT17,HOTA,36.13166666666667,6.924650601465821,15,32.29692298178884,39.966410351544496,3.8347436848778322
yolo11,l,nms,YOLO11-L,MOT20,HOTA,10.074213333333331,8.775970249564324,15,5.214242999802181,14.934183666864481,4.85997033353115
yolo11,l,nms,YOLO11-L,SOMPT22,HOTA,30.237466666666663,3.981236955424545,15,28.032731128156637,32.44220220517669,2.204735538510026
yolo11,m,nms,YOLO11-M,MOT17,HOTA,36.943599999999996,5.877217791730078,15,33.688905271183245,40.19829472881675,3.254694728816751
yolo11,m,nms,YOLO11-M,MOT20,HOTA,11.244240000000001,9.473299337446123,15,5.998101689203645,16.49037831079636,5.246138310796356
yolo11,m,nms,YOLO11-M,SOMPT22,HOTA,30.954866666666668,4.239288651019963,15,28.60722686236638,33.302506470966954,2.3476398043002846
yolo11,n,nms,YOLO11-N,MOT17,HOTA,34.4302,6.894537311731451,15,30.612132499132855,38.248267500867144,3.8180675008671434
yolo11,n,nms,YOLO11-N,MOT20,HOTA,12.602319999999999,8.839824557502743,15,7.706988329383154,17.497651670616843,4.895331670616845
yolo11,n,nms,YOLO11-N,SOMPT22,HOTA,28.0966,5.003832571139846,15,25.32556988502168,30.86763011497832,2.7710301149783203
yolo11,s,nms,YOLO11-S,MOT17,HOTA,36.09113333333334,5.977124306968393,15,32.78111222049554,39.40115444617114,3.3100211128377994
yolo11,s,nms,YOLO11-S,MOT20,HOTA,12.365346666666666,9.35844455603499,15,7.1828128137762635,17.54788051955707,5.182533852890402
yolo11,s,nms,YOLO11-S,SOMPT22,HOTA,30.849666666666664,5.613790477369949,15,27.74085312208656,33.95848021124677,3.108813544580106
yolo11,x,nms,YOLO11-X,MOT17,HOTA,36.5628,7.101022413306812,15,32.630384861272276,40.49521513872773,3.932415138727725
yolo11,x,nms,YOLO11-X,MOT20,HOTA,10.66555333333333,9.455593112836645,15,5.4292204028965045,15.901886263770155,5.236332930436825
yolo11,x,nms,YOLO11-X,SOMPT22,HOTA,31.321600000000004,5.317261806069522,15,28.37699856013083,34.26620143986918,2.9446014398691736
yolo26,l,end2end,YOLO26-L (E2E),MOT17,HOTA,36.76273333333334,6.233117627029106,15,33.310947845082005,40.21451882158467,3.4517854882513297
yolo26,l,end2end,YOLO26-L (E2E),MOT20,HOTA,9.982153333333331,8.615506510179909,15,5.2110448567637455,14.753261809902916,4.7711084765695855
yolo26,l,end2end,YOLO26-L (E2E),SOMPT22,HOTA,30.656399999999998,5.702295625447702,15,27.498573938080966,33.81422606191903,3.157826061919031
yolo26,l,nms,YOLO26-L (NMS),MOT17,HOTA,37.10926666666668,6.130458319695504,15,33.71433200788653,40.50420132544682,3.3949346587801457
yolo26,l,nms,YOLO26-L (NMS),MOT20,HOTA,11.005873333333335,8.80207975046374,15,6.1314440401446175,15.880302626522052,4.874429293188718
yolo26,l,nms,YOLO26-L (NMS),SOMPT22,HOTA,31.951533333333327,5.787835147551984,15,28.746337062998663,35.15672960366799,3.2051962703346626
yolo26,m,end2end,YOLO26-M (E2E),MOT17,HOTA,36.38033333333333,6.037069034209359,15,33.037115937035345,39.72355072963132,3.343217396297987
yolo26,m,end2end,YOLO26-M (E2E),MOT20,HOTA,8.807216666666669,9.635956092344717,15,3.471002047396631,14.143431285936707,5.336214619270038
yolo26,m,end2end,YOLO26-M (E2E),SOMPT22,HOTA,28.878466666666665,4.2211413295232765,15,26.54087651404009,31.21605681929324,2.337590152626576
yolo26,m,nms,YOLO26-M (NMS),MOT17,HOTA,36.919,5.867345298952744,15,33.66977247545257,40.168227524547426,3.249227524547431
yolo26,m,nms,YOLO26-M (NMS),MOT20,HOTA,9.760093333333336,9.533902330890138,15,4.480394203404107,15.039792463262565,5.279699129929228
yolo26,m,nms,YOLO26-M (NMS),SOMPT22,HOTA,30.354600000000005,4.5726053811179215,15,27.822375543076713,32.8868244569233,2.532224456923293
yolo26,n,end2end,YOLO26-N (E2E),MOT17,HOTA,32.53873333333334,8.350161969914687,15,27.91456776531765,37.16289890134903,4.624165568015689
yolo26,n,end2end,YOLO26-N (E2E),MOT20,HOTA,8.815293333333333,7.501872378038762,15,4.660894883200126,12.96969178346654,4.154398450133207
yolo26,n,end2end,YOLO26-N (E2E),SOMPT22,HOTA,26.00086666666667,5.415227061149839,15,23.002013876819323,28.99971945651402,2.998852789847347
yolo26,n,nms,YOLO26-N (NMS),MOT17,HOTA,32.63306666666667,7.534960939008308,15,28.460344382231586,36.80578895110176,4.1727222844350855
yolo26,n,nms,YOLO26-N (NMS),MOT20,HOTA,9.277573333333333,7.698963886363139,15,5.014029243890907,13.54111742277576,4.2635440894424255
yolo26,n,nms,YOLO26-N (NMS),SOMPT22,HOTA,26.787333333333333,5.612796179479615,15,23.67907041257171,29.895596254094954,3.108262920761622
yolo26,s,end2end,YOLO26-S (E2E),MOT17,HOTA,35.8442,5.85448954954352,15,32.60209175217838,39.08630824782162,3.2421082478216197
yolo26,s,end2end,YOLO26-S (E2E),MOT20,HOTA,9.236766666666666,9.483518452833742,15,3.9849691983975255,14.488564134935807,5.251797468269141
yolo26,s,end2end,YOLO26-S (E2E),SOMPT22,HOTA,29.94506666666667,5.449127446097176,15,26.927440469383544,32.9626928639498,3.0176261972831258
yolo26,s,nms,YOLO26-S (NMS),MOT17,HOTA,35.98433333333334,5.853719253196047,15,32.742651661410484,39.226015005256194,3.241681671922854
yolo26,s,nms,YOLO26-S (NMS),MOT20,HOTA,9.318606666666666,9.64482112501439,15,3.9774827559387926,14.659730577394539,5.341123910727873
yolo26,s,nms,YOLO26-S (NMS),SOMPT22,HOTA,31.2556,6.728880970435257,15,27.52926992318586,34.981930076814145,3.726330076814141
yolo26,x,end2end,YOLO26-X (E2E),MOT17,HOTA,36.17633333333333,6.400189067147791,15,32.632026765421614,39.72063990124505,3.5443065679117174
yolo26,x,end2end,YOLO26-X (E2E),MOT20,HOTA,10.360726666666665,8.697807032848376,15,5.544041679782142,15.177411653551188,4.816684986884523
yolo26,x,end2end,YOLO26-X (E2E),SOMPT22,HOTA,28.9952,3.518698464732988,15,27.046609739898233,30.943790260101768,1.9485902601017682
yolo26,x,nms,YOLO26-X (NMS),MOT17,HOTA,37.837666666666664,6.670314767328309,15,34.14376947209269,41.531563861240635,3.693897194573974
yolo26,x,nms,YOLO26-X (NMS),MOT20,HOTA,11.860520000000001,8.79700181751877,15,6.9889027723455115,16.73213722765449,4.87161722765449
yolo26,x,nms,YOLO26-X (NMS),SOMPT22,HOTA,30.88613333333334,3.504539196663718,15,28.945384214530403,32.826882452136275,1.9407491188029375
rtdetr,l,nms,RT-DETR-L,MOT17,IDF1,47.148466666666664,11.343234149965891,15,40.8667929727673,53.43014036056603,6.281673693899366
rtdetr,l,nms,RT-DETR-L,MOT20,IDF1,20.32326666666667,12.66525344248511,15,13.309483090977515,27.337050242355822,7.013783575689154
rtdetr,l,nms,RT-DETR-L,SOMPT22,IDF1,39.163666666666664,7.587323889852325,15,34.9619467465923,43.36538658674103,4.20171992007437
rtdetr,x,nms,RT-DETR-X,MOT17,IDF1,48.711133333333336,12.06617600607267,15,42.029107783897395,55.39315888276928,6.682025549435944
rtdetr,x,nms,RT-DETR-X,MOT20,IDF1,21.963113333333336,13.103270706630388,15,14.706763881873783,29.21946278479289,7.256349451459553
rtdetr,x,nms,RT-DETR-X,SOMPT22,IDF1,38.876666666666665,6.159860534908547,15,35.46544960382042,42.28788372951291,3.4112170628462466
yolo11,l,nms,YOLO11-L,MOT17,IDF1,42.88120000000001,13.76821392711695,15,35.2566172668463,50.505782733153715,7.624582733153709
yolo11,l,nms,YOLO11-L,MOT20,IDF1,11.136598666666666,11.628711070209475,15,4.696833123793618,17.576364209539715,6.439765542873048
yolo11,l,nms,YOLO11-L,SOMPT22,IDF1,34.090066666666665,6.136879086621271,15,30.69157630568034,37.48855702765299,3.398490360986326
yolo11,m,nms,YOLO11-M,MOT17,IDF1,43.48186666666666,12.33860165072356,15,36.64897682377415,50.314756509559174,6.832889842892516
yolo11,m,nms,YOLO11-M,MOT20,IDF1,12.737813333333333,13.223315723311645,15,5.4149851674788545,20.060641499187813,7.322828165854479
yolo11,m,nms,YOLO11-M,SOMPT22,IDF1,34.373733333333334,5.721147930100676,15,31.20546721308153,37.54199945358514,3.1682661202518054
yolo11,n,nms,YOLO11-N,MOT17,IDF1,40.197199999999995,13.786506732516193,15,32.56248704887275,47.831912951127244,7.634712951127247
yolo11,n,nms,YOLO11-N,MOT20,IDF1,15.719373333333333,12.14175210482212,15,8.99549513542646,22.443251531240207,6.723878197906873
yolo11,n,nms,YOLO11-N,SOMPT22,IDF1,31.764133333333337,7.424733615872469,15,27.652452905826983,35.87581376083969,4.111680427506352
yolo11,s,nms,YOLO11-S,MOT17,IDF1,42.93946666666667,12.56977009601475,15,35.97856000577964,49.900373327553694,6.9609066608870265
yolo11,s,nms,YOLO11-S,MOT20,IDF1,14.603673333333335,13.180517286481518,15,7.30454615180321,21.902800514863458,7.299127181530125
yolo11,s,nms,YOLO11-S,SOMPT22,IDF1,35.034,8.11521680900411,15,30.539942725376577,39.52805727462342,4.494057274623424
yolo11,x,nms,YOLO11-X,MOT17,IDF1,43.00339999999999,13.784521235273795,15,35.36978658059641,50.63701341940357,7.63361341940358
yolo11,x,nms,YOLO11-X,MOT20,IDF1,11.639313333333337,12.60759733532958,15,4.657458645545402,18.62116802112127,6.981854687787935
yolo11,x,nms,YOLO11-X,SOMPT22,IDF1,35.94113333333334,7.0280970587113165,15,32.049102909892675,39.833163756774006,3.8920304234406666
yolo26,l,end2end,YOLO26-L (E2E),MOT17,IDF1,43.686266666666675,13.472584339351986,15,36.22539814235763,51.14713519097572,7.46086852430904
yolo26,l,end2end,YOLO26-L (E2E),MOT20,IDF1,11.195686666666667,11.787398394039693,15,4.668043012976117,17.723330320357217,6.52764365369055
yolo26,l,end2end,YOLO26-L (E2E),SOMPT22,IDF1,34.47806666666666,7.9567876995203335,15,30.071744508521913,38.88438882481141,4.40632215814475
