family,scale,mode,label,dataset,metric,n_sequences,mean,std_between_seq,t_ci_low,t_ci_high,boot_ci_low,boot_ci_high
rtdetr,l,nms,RT-DETR-L,MOT17,HOTA,3,39.02786666666666,6.769369117822822,22.211821556324924,55.8439117770084,33.4496,46.559
rtdetr,l,nms,RT-DETR-L,MOT20,HOTA,3,11.685286666666665,11.401030852976994,-16.63644402804252,40.00701736137585,2.85226,24.5556
rtdetr,l,nms,RT-DETR-L,SOMPT22,HOTA,3,31.63286666666666,5.791731120600585,17.24540897366475,46.02032435966858,27.880399999999998,38.3032
rtdetr,x,nms,RT-DETR-X,MOT17,HOTA,3,38.62513333333333,8.881332049491975,16.562681458613465,60.68758520805319,29.1726,46.796
rtdetr,x,nms,RT-DETR-X,MOT20,HOTA,3,13.162613333333333,11.916975002228265,-16.44079367968787,42.76602034635454,3.53476,26.490799999999997
rtdetr,x,nms,RT-DETR-X,SOMPT22,HOTA,3,32.087066666666665,5.035812563363865,19.57741476870839,44.596718564624936,28.871199999999998,37.8906
yolo11,l,nms,YOLO11-L,MOT17,HOTA,3,37.845733333333335,8.830735874961572,15.908969323834746,59.782497342831924,31.641000000000002,47.95579999999999
yolo11,l,nms,YOLO11-L,MOT20,HOTA,3,8.5694,9.970403722136833,-16.19845588753597,33.33725588753597,1.20792,19.916
yolo11,l,nms,YOLO11-L,SOMPT22,HOTA,3,29.848200000000002,5.3006632603854404,16.68062249758707,43.01577750241293,26.234199999999998,35.9332
yolo11,m,nms,YOLO11-M,MOT17,HOTA,3,36.89253333333333,7.947931497775587,17.148776969300712,56.63628969736595,30.509599999999995,45.79479999999999
yolo11,m,nms,YOLO11-M,MOT20,HOTA,3,9.650853333333332,11.044938488852408,-17.786294890787637,37.0880015574543,2.3928599999999998,22.3618
yolo11,m,nms,YOLO11-M,SOMPT22,HOTA,3,30.3342,4.707764467345409,18.639464748629067,42.02893525137093,27.400600000000008,35.7644
yolo11,n,nms,YOLO11-N,MOT17,HOTA,3,34.4626,9.023161938034807,12.047823150497543,56.87737684950246,28.367,44.8282
yolo11,n,nms,YOLO11-N,MOT20,HOTA,3,10.754480000000001,10.041518723997878,-14.190035345530184,35.698995345530186,1.44646,21.396200000000004
yolo11,n,nms,YOLO11-N,SOMPT22,HOTA,3,27.526866666666667,5.263815290579005,14.450824595651337,40.602908737682,23.8006,33.5486
yolo11,s,nms,YOLO11-S,MOT17,HOTA,3,36.62506666666667,7.378756438135989,18.295219532872515,54.95491380046082,30.463600000000003,44.8022
yolo11,s,nms,YOLO11-S,MOT20,HOTA,3,10.880086666666665,10.96113212357799,-16.3488750049914,38.109048338324726,3.5715600000000003,23.4834
yolo11,s,nms,YOLO11-S,SOMPT22,HOTA,3,30.3372,5.772436023032215,15.997673986519576,44.67672601348042,26.406200000000002,36.9644
yolo11,x,nms,YOLO11-X,MOT17,HOTA,3,36.635466666666666,9.27926361158758,13.584497991849389,59.68643534148394,30.429600000000004,47.30280000000001
yolo11,x,nms,YOLO11-X,MOT20,HOTA,3,9.02962,10.436423073697233,-16.895892133152586,34.95513213315259,1.7503999999999997,20.9866
yolo11,x,nms,YOLO11-X,SOMPT22,HOTA,3,29.924466666666664,5.338224818545334,16.66358108111664,43.18535225221669,24.830599999999993,35.4774
yolo26,l,end2end,YOLO26-L (E2E),MOT17,HOTA,3,37.5966,8.95857848321931,15.342257346159844,59.850942653840164,32.2738,47.939600000000006
yolo26,l,end2end,YOLO26-L (E2E),MOT20,HOTA,3,8.543273333333333,9.896211967825536,-16.040280019417025,33.126826686083696,1.8707,19.913400000000003
yolo26,l,end2end,YOLO26-L (E2E),SOMPT22,HOTA,3,29.601266666666664,6.1175596321845,14.404406080475669,44.79812725285766,24.215799999999998,36.2528
yolo26,l,nms,YOLO26-L (NMS),MOT17,HOTA,3,38.18506666666667,8.301617397431256,17.56270582118506,58.80742751214828,32.82000000000001,47.7472
yolo26,l,nms,YOLO26-L (NMS),MOT20,HOTA,3,9.334593333333332,10.177844155229206,-15.948573156989221,34.61775982365589,2.2726800000000003,21.000999999999998
yolo26,l,nms,YOLO26-L (NMS),SOMPT22,HOTA,3,31.7856,6.957539774949187,14.502113064045819,49.069086935954175,25.7534,39.397
yolo26,m,end2end,YOLO26-M (E2E),MOT17,HOTA,3,38.13006666666667,8.760239086539434,16.368426387844803,59.89170694548854,32.709,48.23659999999999
yolo26,m,end2end,YOLO26-M (E2E),MOT20,HOTA,3,7.54262,10.43067111135233,-18.36860346657505,33.45384346657505,0.0,19.446
yolo26,m,end2end,YOLO26-M (E2E),SOMPT22,HOTA,3,28.706266666666664,4.627799582234882,17.210175202014568,40.20235813131876,25.642599999999998,34.0298
yolo26,m,nms,YOLO26-M (NMS),MOT17,HOTA,3,38.07726666666667,8.245881668647284,17.59336104694921,58.56117228638412,32.416599999999995,47.53799999999999
yolo26,m,nms,YOLO26-M (NMS),MOT20,HOTA,3,8.025653666666665,10.626271753180431,-18.37146873071614,34.42277606404947,0.021561,20.081799999999998
yolo26,m,nms,YOLO26-M (NMS),SOMPT22,HOTA,3,29.771866666666664,6.014471861546394,14.831090299138058,44.71264303419527,25.587,36.6642
yolo26,n,end2end,YOLO26-N (E2E),MOT17,HOTA,3,32.6258,8.5903936370809,11.286079207347257,53.96552079265274,27.595999999999993,42.5448
yolo26,n,end2end,YOLO26-N (E2E),MOT20,HOTA,3,7.954113333333333,8.806866212548783,-13.923355147598901,29.831581814265565,1.4719799999999996,17.981
yolo26,n,end2end,YOLO26-N (E2E),SOMPT22,HOTA,3,25.718666666666667,5.101627572974468,13.045521221335484,38.39181211199785,22.643999999999995,31.6076
yolo26,n,nms,YOLO26-N (NMS),MOT17,HOTA,3,33.434400000000004,9.58011770491365,9.636068326216986,57.23273167378302,27.119400000000002,44.45759999999999
yolo26,n,nms,YOLO26-N (NMS),MOT20,HOTA,3,7.587353333333333,8.512012371568389,-13.557657601765069,28.732364268431734,1.17114,17.243599999999997
yolo26,n,nms,YOLO26-N (NMS),SOMPT22,HOTA,3,25.728733333333334,6.322220398984313,10.023467218219185,41.43399944844748,21.6486,33.0114
yolo26,s,end2end,YOLO26-S (E2E),MOT17,HOTA,3,36.58253333333334,8.495459032526336,15.478643172004691,57.68642349466198,29.4832,45.995
yolo26,s,end2end,YOLO26-S (E2E),MOT20,HOTA,3,8.18226,10.658791791174082,-18.295646650150385,34.66016665015039,0.7064600000000002,20.3874
yolo26,s,end2end,YOLO26-S (E2E),SOMPT22,HOTA,3,29.877933333333335,6.722263530488325,13.178904988923371,46.5769616777433,24.264799999999997,37.327600000000004
yolo26,s,nms,YOLO26-S (NMS),MOT17,HOTA,3,37.01193333333333,8.657743910126548,15.504905187511213,58.51896147915545,29.776,46.6038
yolo26,s,nms,YOLO26-S (NMS),MOT20,HOTA,3,8.118,10.78161314444179,-18.66501180561091,34.901011805610906,0.55618,20.4638
yolo26,s,nms,YOLO26-S (NMS),SOMPT22,HOTA,3,31.164599999999997,7.997825496971034,11.296900070975923,51.03229992902407,24.575,40.062799999999996
yolo26,x,end2end,YOLO26-X (E2E),MOT17,HOTA,3,37.156,9.62179236732949,13.254142725685327,61.05785727431467,30.994999999999994,48.2434
yolo26,x,end2end,YOLO26-X (E2E),MOT20,HOTA,3,8.447093333333333,9.857602519909864,-16.040548833819848,32.93473550048651,1.6006399999999996,19.7454
yolo26,x,end2end,YOLO26-X (E2E),SOMPT22,HOTA,3,28.305666666666667,5.073366079175967,15.702726663870736,40.9086066694626,23.577,33.6648
yolo26,x,nms,YOLO26-X (NMS),MOT17,HOTA,3,37.900800000000004,7.913844661098672,18.24172003243078,57.55987996756923,33.2656,47.038599999999995
yolo26,x,nms,YOLO26-X (NMS),MOT20,HOTA,3,9.631013333333334,10.250079656282352,-15.831596089282518,35.093622755949184,2.28562,21.340999999999998
yolo26,x,nms,YOLO26-X (NMS),SOMPT22,HOTA,3,29.369133333333334,5.147312620516976,16.582499938538696,42.15576672812797,24.7072,34.893
rtdetr,l,nms,RT-DETR-L,MOT17,IDF1,3,46.86273333333333,13.598626328174964,13.081872843512983,80.64359382315368,37.2812,62.427
rtdetr,l,nms,RT-DETR-L,MOT20,IDF1,3,12.173200000000001,16.278043515422855,-28.263701770174826,52.61010177017483,1.0459,30.856000000000005
